Iteration	Cost	Gradient norm
Weight distance0	13.190610	575.029044	6.536609
1	4.490842	970.734429	6.536671
2	15.818618	3065.878641	6.536570
3	1.653191	5182.937274	6.536432
4	0.795254	5673.929190	6.536328
5	0.288374	9874.119731	6.536304
6	15.835114	19850.563628	6.536078
7	2.061016	18802.035882	6.535896
8	3.589858	49097.933466	6.535716
9	0.024925	55705.722454	6.535546
10	46.297471	59591.378534	6.536037
11	2.827634	162008.739580	6.536666
12	0.847459	252563.119685	6.537460
13	0.110476	415345.595850	6.538564
14	21.814897	341440.799729	6.540168
15	2.317037	571025.019070	6.542566
16	17.250334	504716.057111	6.544801
17	2.407128	517646.409210	6.546602
18	3.393384	510768.035541	6.548571
19	41.406067	270015.051608	6.551084
20	28.134337	189070.882793	6.554175
21	1.597718	164396.568239	6.557447
22	3.755668	236580.555928	6.561188
23	37.694646	129273.347298	6.564061
24	0.008517	133172.049724	6.566368
25	1.322762	256606.157583	6.568171
26	1.019035	356063.490941	6.569552
27	0.969601	472263.107903	6.570992
28	0.575811	642545.774284	6.572995
29	0.607089	790459.678468	6.575598
30	54.729862	499992.879024	6.579239
31	4.711716	523233.675883	6.583682
32	38.889239	715248.469386	6.589858
33	0.348407	828674.418838	6.597252
34	2.152034	774942.498369	6.604408
35	2.641510	1038317.595934	6.611083
36	0.031780	1363772.032713	6.617968
37	0.286983	2050840.355953	6.626081
38	16.476573	2346958.931269	6.633418
39	27.788076	2334009.599607	6.638506
40	12.530025	2038295.006817	6.642761
41	3.147700	2079261.343025	6.647556
42	1.986622	2808889.074631	6.652142
43	65.313037	4424247.374215	6.653665
44	37.329450	6391839.854757	6.651864
45	0.000000	6005793.424798	6.650431
