Iteration	Cost	Gradient norm
Weight distance0	12.098565	607.055575	7.807643
1	15.009310	1864.635490	7.808148
2	0.987016	8103.970782	7.810704
3	12.985309	16651.576562	7.814767
4	2.007201	18459.846676	7.818242
5	110.479242	75326.396351	7.819050
6	3.331915	150850.755221	7.822038
7	3.896879	137755.503657	7.828215
8	100.314849	474249.981126	7.833977
9	3.863017	555680.166156	7.840962
10	65.341644	620261.073002	7.837673
11	78.841915	1565238.775926	7.827749
12	75.157976	2489641.901088	7.823612
13	103.936661	4482829.889697	7.821663
14	25.449847	3649195.540376	7.819135
15	141.233739	6527920.802438	7.805628
16	14.825144	5667249.148853	7.810537
17	1.593601	5807172.298625	7.852123
18	1.164283	5723642.291280	7.911544
19	101.281225	3126666.141671	7.956676
20	44.236642	2144525.657158	7.958886
21	6.621990	1839162.220582	7.934680
22	5.023982	2489395.548791	7.902800
23	53.157599	1316618.924850	7.876117
24	0.011946	1352335.839225	7.858392
25	22.189511	2847877.002505	7.883430
26	0.240957	3762453.986172	7.966295
27	7.737803	4887653.579477	8.074379
28	38.821535	6693653.717869	8.215857
29	12.495719	8174246.565480	8.395716
30	81.864287	5049611.790794	8.548161
31	2.103267	5145850.777155	8.635327
32	6.407559	6387770.247672	8.685717
33	2.958904	7289494.947672	8.717417
34	0.508083	7055286.439861	8.790036
35	29.415824	9586696.175444	8.959933
36	24.778042	12424616.989017	9.251050
37	65.694943	18118713.066893	9.650844
38	1.300418	20614115.609832	10.196954
39	28.240068	20327057.514246	10.868864
40	74.373147	17665429.691561	11.554179
41	2.733949	17899890.997961	12.225475
42	1.393627	23368540.148225	12.997351
43	39.130765	34508574.524401	13.949665
44	41.166472	47899633.685892	15.081378
45	57.229081	45960350.167295	16.439576
46	112.417931	51192740.500660	18.123059
47	26.036365	43174614.725030	20.023875
48	31.244927	54843156.220469	22.123070
49	0.220060	62382187.967122	24.613282
50	36.192660	80910289.350317	27.573844
51	33.024565	80031411.697790	30.974495
52	193.956974	62007685.228223	34.390799
53	81.270769	53750470.269653	37.638268
54	885.919277	38931404.740389	40.436655
55	467.161918	42801304.752322	42.597466
56	15.378963	49047539.983980	44.602379
57	84.475789	50614226.983727	46.548779
58	189.163220	62875363.073677	48.311471
59	7.222618	70948415.183636	50.215522
60	0.073559	81407125.543758	52.821480
61	60.408575	112566336.494333	56.006790
62	87.480261	116372737.889519	59.304918
63	289.520376	117374224.481590	62.364541
64	1081.870586	201466175.124776	64.822519
65	152.347348	226901299.891003	67.069190
66	55.029942	197210355.025396	69.857025
67	408.022406	192130924.379104	72.747076
68	71.153198	216341014.547091	76.074539
69	13.567363	235353332.558353	80.159014
70	25.872968	290136947.096279	84.816946
71	72.806013	329828649.202396	90.713088
72	5.276179	340331453.108389	98.052177
73	8.910182	327350044.311742	106.922551
74	14.630318	339698539.101950	117.562297
75	34.084672	362287754.636148	130.218955
76	6.358551	353630831.778748	144.667610
77	0.332395	370637635.163188	160.555484
78	120.571906	316159629.407531	177.232263
79	596.871252	461546665.392321	195.810256
80	80.711351	526125911.541961	216.890331
81	8.996870	552272288.531898	240.002119
82	1.971102	551800528.622308	265.360074
83	5.178036	570416319.099657	293.317872
84	42.088893	691185198.173578	325.016750
85	116.837275	790221233.000262	361.008399
86	228.647278	740403846.570722	399.616861
87	0.003354	749565105.722994	440.367350
88	0.610211	783863555.891454	483.979673
89	14.641970	891497940.160309	531.832233
90	89.218950	834825449.598397	582.973051
91	2993.372533	744477414.595011	634.482105
92	6256.481907	671740640.380206	683.515539
93	383.560572	894130700.593912	737.971396
94	89.462676	1020384697.589983	800.429237
95	185.570433	1164231299.254821	868.355588
96	4303.129287	1229375630.169151	936.699971
97	2139.159393	1152452849.777381	1003.670421
98	9898.648127	1399757925.462692	1066.117098
99	273.971801	1663543633.540102	1133.648601
