Iteration	Cost	Gradient norm
Weight distance0	4.189717	64.150169	5.597516
1	0.645447	146.575499	5.594041
2	9.572681	977.772103	5.584463
3	2.770266	1884.959247	5.562326
4	0.110426	2033.358364	5.536862
5	1.219991	3926.632949	5.489302
6	9.265929	8685.778936	5.427248
7	0.476575	8202.820563	5.367131
8	5.729511	20050.769587	5.268740
9	0.054516	22562.485170	5.163289
10	84.349261	28988.286966	5.052168
11	4.472693	70615.208736	4.888931
12	1.658212	107509.796994	4.705223
13	2.265412	176256.544545	4.519725
14	11.121319	148505.591162	4.384802
15	33.822581	235266.791805	4.293034
16	6.169790	212362.095932	4.254659
17	1.340723	217057.437180	4.269955
18	3.876757	215173.993566	4.348894
19	4.823975	140279.167921	4.458099
20	6.090798	107465.061393	4.574214
21	0.620507	96043.749840	4.700165
22	6.762243	114015.070437	4.861595
23	29.636886	82506.230013	4.993626
24	0.001653	83467.461922	5.129953
25	1.141789	138592.486441	5.346674
26	0.406052	162445.740296	5.615209
27	0.461194	194009.544194	5.955136
28	1.141735	245620.162276	6.423708
29	0.378715	284173.681297	7.020515
30	21.332207	209637.915629	7.571646
31	3.444434	209151.601047	8.139168
32	37.241360	243108.192891	8.756852
33	0.966697	265210.186875	9.468014
34	0.052074	264850.974370	10.274196
35	2.367168	340048.621153	11.322003
36	0.306295	412307.566456	12.635995
37	3.453264	543097.827576	14.299943
38	0.011887	603127.844275	16.234290
39	32.577684	607554.902249	18.249890
40	36.745097	560639.737370	20.201073
41	1.904360	564036.106594	22.268385
42	0.463954	690806.775240	24.661090
43	28.688700	974920.705074	27.251119
44	31.643784	1340364.970791	30.046244
45	1.427612	1306172.561652	33.584062
46	2.049756	1450051.745894	38.170367
47	33.054727	1273791.370937	43.222561
48	5.058553	1567854.131051	49.233698
49	0.120348	1752909.628706	56.096298
50	5.503360	2221803.773810	64.362652
51	32.389155	2229615.679594	73.231005
52	140.579553	2137779.783098	82.014306
53	19.550333	2007591.875976	90.901063
54	711.871569	5565607.579165	99.015929
55	392.785865	9194491.993651	106.703800
56	0.006915	9404712.896240	115.442894
57	15.123532	9732045.584156	124.617132
58	195.764015	12116438.147172	134.239378
59	0.000000	12381078.753079	145.723279
