Iteration	Cost	Gradient norm
Weight distance0	4.379259	38.385539	5.986871
1	3.853713	152.530393	5.948877
2	22.119691	2095.601735	5.788573
3	1.955695	4003.821908	5.590673
4	1.066982	4377.218509	5.495161
5	5.399002	12861.513621	5.458047
6	2.493615	25276.403206	6.096754
7	2.810232	23094.721522	7.462434
8	7.338682	69078.817678	11.021503
9	0.239745	79706.207630	17.374234
10	69.309693	96860.557984	25.224353
11	7.363072	262317.318925	41.480569
12	4.296388	418196.541918	73.819546
13	2.623290	715587.548164	131.822714
14	250.187946	732534.797211	211.274222
15	19.337706	1037921.142658	329.544841
16	83.353763	962163.747549	477.316232
17	11.537204	985042.780228	655.003399
18	1.022331	968879.501083	859.507805
19	12169.269272	119454388.733592	1835.504596
20	5930.578571	242662555.920627	5097.861692
21	914.879744	257193705.609102	10594.991699
22	3651.579699	269602661.207998	18242.900803
23	10451.605886	503524823.989951	33540.558944
24	353.533566	505806484.560955	51941.277032
25	20751.174261	1168471640.237442	77672.746993
26	126372.752885	27154650703.475582	192024.460170
27	481487.199070	473405287634.254089	1996529.232080
28	3687515.609797	22199545358170.253906	70222623.541486
29	30766042.483335	1467752758371509.750000	4181887001.020119
30	900154.017725	1468319364860212.750000	19967042423.460346
31	645.318264	1468321809993285.500000	47498574659.071960
32	1319.178696	1468332000975279.000000	86777020991.023315
33	1336.284646	1468334144867342.000000	137802595605.526337
34	546720247895.343018	357088326293098697064448.000000	692048867903157120.000000
35	12439530942601048064.000000	184730733637435578759913530915106586624.000000	358238407857302909164905379659776.000000
36	1001017533195125218412276096172032.000000	1196229416680444855169024345164811643237111224756016431215744647168.000000	2319783240865708465176797557996369546502661904815122886426624.000000
37	1565818248717982433221664511389530864632379280212224716570624.000000	2926939931697609076803359665639559654713442040156055738856742748827689620426422401784539595049613111809774526557092577280.000000	5676056871611197762994546584908998979269277558627645906160042276571653474938381564782151887549014526184660718845952.000000
38	151055663301023139045381040275771444215981391948317837527500292316086082960343442646516574003762498813561285013143552.000000	27239876471185717966512955523895827766045802766011351475780484894843096444738010020973521925329606050131238755329129423534853860527084206150572572995137947570407931295335488429511126419542732478751366139317136382341002676599007477760.000000	52824824435818865834844811094255463033442330661446847632538495444219399555030552333852014357556225184683732714389132837274956783247984669828634824219812767639206905544214705749914011247307121851663583908195259074400653013942272.000000
39	299842932046864918391208886463868142396449148731457127012726086572758720186777157392771015217393506939696469146841574047634990679606288176783687621823990514240348278255017064003081971922180644870883766921327954636472533657845760.000000	inf	inf
40	31407.860038	inf	inf
41	469984044562855467222480121919034482479187153420997403942786474564523395794825682452889102134122912968859777294474837750698995923695636744900071389306412382100649797527550583459778463633236575828454970659260706245358649344.000000	inf	inf
42	inf	inf	inf
43	inf	-nan	-nan
44	0.000000	-nan	-nan
