Iteration	Cost	Gradient norm
Weight distance0	5.587885	102.720852	6.889287
1	2.563009	122.223477	6.993532
2	38.212311	3290.374867	7.662754
3	0.205951	5268.244141	17.099980
4	5.179368	5807.660308	40.188933
5	0.543381	15655.127296	88.248462
6	0.452731	28697.865085	223.119318
7	56.493158	25951.709877	449.038234
8	0.117068	91609.488664	976.510224
9	0.002397	107267.796169	1901.681229
10	6640.338855	50526842.442072	21478.611781
11	1765.634939	51660185.065795	85502.415624
12	82432.787690	2507082132.244502	234916.009598
13	316928.484665	48028417990.075417	2865828.086890
14	522560.395852	358564159708.272705	147459291.091992
15	141764889.825178	5768508556987112.000000	32786034224.065132
16	159858746027.727936	6384925282321660116992.000000	10870273783524802.000000
17	21553997851544236.000000	127310434195129779076480628686848.000000	489897315262943633527013376.000000
18	61910889124265.125000	127314404259163362015851831099392.000000	61404863166234631325804920832.000000
19	158813549207134.375000	127361564267481814626462873944064.000000	224193833866362767338712858624.000000
20	543670914932.078491	127361561753840016446117814206464.000000	488872706527429718778534952960.000000
21	343407298345.885742	127361560764970973335909310660608.000000	855440827021444766976966656000.000000
22	54649845106087.070312	127403569955318657640370504990720.000000	1323952426329613397091921428480.000000
23	2595058526526592565386923737088.000000	1845415021294994224830826562303113286994808046497776533504000.000000	7099983845048457083130017738094954112903441074851151872.000000
24	4464938351496431537225728.000000	1845421371580236482342462627101186368940773555423078458064896.000000	890055308807422474269145005033051935782080822111922814976.000000
25	16467929802139727700430405940964648148263340173900342362112.000000	74315216812209911330484089935290129085295791932377091631475338293528361918445484081992943565854490430912471144333312.000000	285917700082739448865900798649783298391566452167409084095168875940570390362461329706328713471407320961493499904.000000
26	368370868199671660549656053974782202631839957308401403411118278420078923899212880557435443116912153397066465280.000000	37185214443390486289819274902806892884782826995548230289612059064336318702220167233447840385173423996651164890950753430181377307701302957428411165531559852375390315271794739219587335338922063300879871915968420235800739840.000000	143065060519218827293192442268014856744758780788537521831166659405383193510045224357048499810808354835446632505210038504825788533205002281472094380001411538657566014285246638290287407336108128397021731182502351994880.000000
27	105286119502917169547856595981258251261442984807383870737611053322327454894295259781780099468522271344276765096978177087516928510816758758921069948064295785288862384139374271051080932699160309888258213776035697131520.000000	inf	inf
28	inf	-nan	-nan
29	0.000000	-nan	-nan
