Iteration	Cost	Gradient norm	Weight distance
0	0.014670	0.000030	2.893005
1	0.013794	0.000027	2.892830
2	5.790232	4.701027	2.819545
3	4.991782	3.551345	2.756613
4	0.349149	0.017624	2.752207
5	0.111450	0.001798	2.750800
6	0.170902	0.004228	2.748644
7	0.058372	0.000494	2.747907
8	0.379359	0.020847	2.743122
9	0.191722	0.005331	2.740704
10	0.719510	0.075118	2.731637
11	0.253972	0.009379	2.728437
12	3.581334	1.866323	2.683492
13	2.523614	0.936443	2.651881
14	0.255833	0.009696	2.648675
15	0.240386	0.008567	2.645663
16	3.432985	1.748426	2.602823
17	3.195372	1.530316	2.563060
18	0.281109	0.011958	2.559560
19	0.041047	0.000255	2.559049
20	1.422187	0.306369	2.541371
21	0.711173	0.076941	2.532535
22	1.101568	0.184998	2.518863
23	0.498833	0.038064	2.512674
24	4.350944	2.900249	2.458974
25	3.734012	2.164855	2.413046
26	0.002350	0.000001	2.413017
27	5.479538	4.716490	2.346017
28	6.011421	5.775561	2.272975
29	4.221249	2.903403	2.221887
30	0.368975	0.022491	2.217419
31	0.264403	0.011563	2.214217
32	0.007699	0.000010	2.214124
33	5.730768	5.437089	2.145275
34	1.740742	0.511316	2.124379
35	1.273764	0.275393	2.109109
36	0.336513	0.019305	2.105076
37	0.316073	0.017050	2.101288
38	1.895020	0.613551	2.078641
39	1.770446	0.539020	2.057524
40	3.680553	2.343768	2.013839
41	3.417027	2.046133	1.973445
42	3.245013	1.867612	1.935236
43	2.773122	1.379766	1.902693
44	0.064098	0.000745	1.901940
45	0.001027	0.000000	1.901928
46	1.979798	0.710467	1.878750
47	1.315319	0.315854	1.863375
48	0.570329	0.059671	1.856712
49	0.270013	0.013403	1.853559
50	0.410953	0.031077	1.848761
51	0.303174	0.016939	1.845224
52	4.808296	4.265585	1.789540
53	3.341363	2.096928	1.751007
54	4.571776	3.975340	1.698637
55	3.168351	1.942928	1.662498
56	0.506104	0.050189	1.656726
57	0.474967	0.044292	1.651313
58	3.114608	1.908147	1.616002
59	2.449644	1.194947	1.588329
60	3.033625	1.850606	1.554225
61	1.988495	0.804923	1.531935
62	2.599820	1.387122	1.502919
63	1.662032	0.572999	1.484417
64	0.067040	0.000939	1.483670
65	4.725197	4.664833	1.431521
66	0.000153	0.000000	1.431519
67	3.925722	3.284378	1.388481
68	3.636246	2.865616	1.348874
69	3.132947	2.161175	1.314942
70	0.557382	0.069359	1.308909
71	0.434335	0.042221	1.304212
72	0.482187	0.052138	1.299001
73	0.296859	0.019804	1.295796
74	1.651503	0.613763	1.278021
75	1.541451	0.538686	1.261480
76	3.104731	2.200719	1.228377
77	2.273215	1.196676	1.204248
78	0.632774	0.093708	1.197539
79	0.339519	0.027058	1.193941
80	0.144205	0.004889	1.192414
81	0.135510	0.004320	1.190979
82	0.397894	0.037271	1.186769
83	0.179779	0.007623	1.184867
84	4.027305	3.828621	1.142652
85	3.035539	2.217083	1.111041
86	4.090970	4.086300	1.068835
87	3.313815	2.735606	1.034909
88	2.008054	1.021288	1.014450
89	1.271557	0.413712	1.001535
90	3.842771	3.803170	0.962882
91	2.906444	2.219319	0.933867
92	0.229546	0.014057	0.931577
93	0.083229	0.001850	0.930747
94	0.389303	0.040500	0.926868
95	0.237511	0.015106	0.924503
96	1.116502	0.334237	0.913419
97	0.716756	0.138574	0.906317
98	3.634499	3.576926	0.870664
99	3.143048	2.728434	0.840112
100	0.216141	0.013130	0.838012
101	0.077984	0.001711	0.837255
102	0.223537	0.014067	0.835086
103	0.118396	0.003951	0.833938
104	0.220367	0.013697	0.831802
105	0.158353	0.007082	0.830267
106	0.443953	0.055711	0.825971
107	0.346222	0.033968	0.822625
108	1.496341	0.635730	0.808225
109	1.022832	0.299584	0.798414
110	0.633671	0.115661	0.792348
111	0.593691	0.101898	0.786675
112	0.473865	0.065140	0.782154
113	0.307238	0.027459	0.779226
114	1.729526	0.871689	0.762830
115	1.213024	0.433147	0.751377
116	0.436439	0.056474	0.747262
117	0.409340	0.049808	0.743409
118	2.991537	2.666702	0.715516
119	2.409576	1.761345	0.693239
120	0.017208	0.000091	0.693080
121	2.927769	2.639098	0.666295
122	0.063203	0.001252	0.665718
123	0.059409	0.001107	0.665175
124	0.145564	0.006648	0.663846
125	0.043120	0.000584	0.663452
126	2.900089	2.641908	0.637238
127	2.022474	1.308608	0.619105
128	2.247735	1.637467	0.599132
129	1.933283	1.229204	0.582091
130	1.363892	0.619631	0.570142
131	0.942089	0.298340	0.561923
132	0.468973	0.074401	0.557841
133	0.373354	0.047305	0.554597
134	0.809180	0.222769	0.547589
135	0.439244	0.066004	0.543794
136	1.495503	0.767430	0.530950
137	1.391887	0.671647	0.519074
138	0.884337	0.273760	0.511562
139	0.651271	0.149400	0.506048
140	2.337761	1.933850	0.486456
141	1.875264	1.265209	0.470893
142	0.027158	0.000269	0.470667
143	2.608053	2.481056	0.449303
144	0.168548	0.010562	0.447926
145	0.039715	0.000587	0.447602
146	2.101140	1.643951	0.430610
147	1.810049	1.239316	0.416124
148	0.025530	0.000250	0.415920
149	0.003262	0.000004	0.415894
150	2.420083	2.246599	0.396786
151	1.820297	1.294943	0.382579
152	1.950649	1.508431	0.367537
153	1.806010	1.313259	0.353773
154	1.774618	1.286645	0.340409
155	1.302569	0.703349	0.330693
156	0.307636	0.039660	0.328406
157	0.157583	0.010433	0.327237
158	0.262373	0.028961	0.325292
159	0.162302	0.011106	0.324091
160	1.685319	1.199185	0.311743
161	1.562298	1.045328	0.300430
162	1.814265	1.428753	0.287470
163	1.239694	0.677723	0.278710
164	0.389849	0.067760	0.275968
165	0.365318	0.059709	0.273407
166	0.786646	0.277764	0.267923
167	0.458100	0.094866	0.264744
168	0.128656	0.007514	0.263853
169	0.091621	0.003815	0.263219
170	1.286995	0.753376	0.254388
171	1.100415	0.557277	0.246913
172	0.000990	0.000000	0.246907
173	0.000931	0.000000	0.246900
174	1.631405	1.237370	0.235969
175	1.203251	0.683442	0.228006
176	0.006374	0.000019	0.227964
177	1.940677	1.798330	0.215338
178	0.787218	0.301467	0.210273
179	0.467912	0.107327	0.207279
180	1.348935	0.896104	0.198749
181	1.157564	0.668737	0.191524
182	0.032425	0.000531	0.191323
183	0.007982	0.000032	0.191273
184	0.539329	0.146921	0.187935
185	0.504393	0.129206	0.184832
186	0.001620	0.000001	0.184822
187	0.001523	0.000001	0.184812
188	0.013300	0.000090	0.184731
189	0.000731	0.000000	0.184726
190	0.875066	0.390959	0.179390
191	0.602893	0.187248	0.175744
192	0.242747	0.030545	0.174281
193	0.189357	0.018634	0.173143
194	0.191658	0.019127	0.171994
195	0.065726	0.002254	0.171601
196	0.039563	0.000817	0.171364
197	0.000635	0.000000	0.171360
198	1.652039	1.425532	0.161618
199	1.328332	0.937729	0.153926
200	1.411583	1.074064	0.145901
201	1.215300	0.808386	0.139113
202	1.057253	0.620020	0.133301
203	0.756804	0.321458	0.129193
204	0.001429	0.000001	0.129186
205	1.651929	1.544700	0.120406
206	0.026069	0.000392	0.120269
207	0.013612	0.000107	0.120197
208	0.732917	0.309978	0.116367
209	0.683373	0.271781	0.112838
210	1.298010	0.988369	0.106258
211	1.202051	0.860693	0.100295
212	0.012272	0.000091	0.100235
213	0.011538	0.000080	0.100178
214	0.365901	0.080928	0.098385
215	0.219644	0.029291	0.097315
216	0.000733	0.000000	0.097311
217	1.513574	1.394643	0.090083
218	0.852412	0.450604	0.086098
219	0.726424	0.330735	0.082756
220	1.174610	0.872672	0.077469
221	0.864440	0.479744	0.073661
222	1.041835	0.704649	0.069175
223	0.758778	0.378878	0.065975
224	0.568069	0.214496	0.063618
225	0.477625	0.152783	0.061661
226	0.456925	0.140727	0.059812
227	0.380307	0.098092	0.058290
228	0.254618	0.044196	0.057279
229	0.143338	0.014055	0.056713
230	0.030191	0.000625	0.056594
231	0.009083	0.000057	0.056558
232	0.674113	0.311651	0.053934
233	0.571669	0.226213	0.051748
234	0.452565	0.142901	0.050042
235	0.377176	0.099887	0.048638
236	0.105550	0.007864	0.048248
237	0.042739	0.001291	0.048090
238	0.551833	0.215401	0.046076
239	0.372006	0.098657	0.044737
240	0.045587	0.001489	0.044574
241	0.029313	0.000616	0.044470
242	0.409589	0.120365	0.043018
243	0.261961	0.049526	0.042100
244	0.349496	0.088489	0.040888
245	0.216537	0.034140	0.040145
246	0.159363	0.018550	0.039601
247	0.060057	0.002641	0.039396
248	0.251332	0.046288	0.038547
249	0.202439	0.030141	0.037868
250	0.464842	0.159395	0.036330
251	0.434118	0.139979	0.034918
252	0.000123	0.000000	0.034918
253	1.128344	0.951780	0.031367
254	1.126722	0.965261	0.027983
255	0.779243	0.469711	0.025737
256	0.092884	0.006755	0.025474
257	0.068181	0.003645	0.025282
258	0.029945	0.000704	0.025198
259	0.009882	0.000077	0.025170
260	0.000014	0.000000	0.025170
261	1.059837	0.882230	0.022278
262	0.197720	0.031222	0.021753
263	0.087114	0.006080	0.021524
264	0.187169	0.028107	0.021035
265	0.100871	0.008188	0.020773
266	0.001253	0.000001	0.020770
267	0.001178	0.000001	0.020767
268	0.652521	0.343210	0.019113
269	0.555981	0.251809	0.017750
270	0.084028	0.005804	0.017548
271	0.045853	0.001731	0.017438
272	0.030753	0.000779	0.017364
273	0.001337	0.000001	0.017361
274	0.043175	0.001536	0.017258
275	0.010276	0.000087	0.017233
276	0.761368	0.478217	0.015466
277	0.549682	0.252424	0.014241
278	0.881181	0.654691	0.012376
279	0.702299	0.422113	0.010972
280	0.334674	0.097021	0.010329
281	0.213454	0.039696	0.009928
282	0.489806	0.209800	0.009037
283	0.373631	0.123132	0.008382
284	0.001762	0.000003	0.008379
285	0.947449	0.797038	0.006824
286	0.025890	0.000605	0.006783
287	0.024333	0.000535	0.006745
288	0.897142	0.727481	0.005417
289	0.666240	0.407786	0.004518
290	0.152883	0.021738	0.004322
291	0.064094	0.003832	0.004241
292	0.000088	0.000000	0.004241
293	0.902269	0.760208	0.003181
294	0.639674	0.388622	0.002517
295	0.502790	0.243039	0.002046
296	0.035197	0.001203	0.002015
297	0.014496	0.000204	0.002002
298	0.557617	0.302136	0.001541
299	0.357549	0.125580	0.001275
300	0.165164	0.026986	0.001160
301	0.131802	0.017241	0.001073
302	0.404450	0.162777	0.000825
303	0.341029	0.116667	0.000640
304	0.076619	0.005929	0.000602
305	0.031636	0.001012	0.000586
306	0.802028	0.651136	0.000261
307	0.642662	0.424951	0.000093
308	0.912828	0.868788	0.000000
309	0.842107	0.753663	0.000070
310	0.021061	0.000480	0.000074
311	0.002847	0.000009	0.000074
312	0.432841	0.202830	0.000172
313	0.332976	0.121166	0.000276
314	0.000200	0.000000	0.000276
315	0.879724	0.851956	0.000668
316	0.045254	0.002299	0.000693
317	0.014510	0.000237	0.000701
318	0.001865	0.000004	0.000702
319	0.000177	0.000000	0.000702
320	0.660310	0.490090	0.001122
321	0.485895	0.269361	0.001497
322	0.045345	0.002372	0.001535
323	0.031756	0.001165	0.001562
324	0.363778	0.152941	0.001886
325	0.307311	0.110069	0.002185
326	0.235690	0.065210	0.002430
327	0.128134	0.019380	0.002570
328	0.461876	0.252581	0.003104
329	0.327612	0.128479	0.003517
330	0.325175	0.127573	0.003953
331	0.273877	0.091211	0.004342
332	0.443493	0.240775	0.005013
333	0.345533	0.147756	0.005572
334	0.269813	0.090868	0.006031
335	0.155179	0.030261	0.006304
336	0.027129	0.000928	0.006352
337	0.025493	0.000820	0.006398
338	0.221818	0.062156	0.006803
339	0.183661	0.042851	0.007149
340	0.153268	0.029982	0.007445
341	0.105870	0.014362	0.007653
342	0.059539	0.004555	0.007772
343	0.043988	0.002490	0.007860
344	0.517101	0.344464	0.008935
345	0.479794	0.300544	0.010001
346	0.175608	0.040770	0.010409
347	0.143745	0.027445	0.010750
348	0.575961	0.442305	0.012173
349	0.425355	0.244982	0.013290
350	0.058605	0.004705	0.013449
351	0.055020	0.004153	0.013599
352	0.007987	0.000088	0.013620
353	0.001224	0.000002	0.013624
354	0.570346	0.447084	0.015229
355	0.491349	0.337076	0.016696
356	0.620532	0.545073	0.018658
357	0.535728	0.413502	0.020457
358	0.344891	0.174054	0.021667
