Iteration	Cost	Gradient norm	Weight distance
186	0.119025	0.031835	1.677209
187	0.090957	1.995987	1.696074
188	0.310500	9.557130	1.641676
189	0.053128	0.558675	1.651588
190	0.146415	0.177082	1.641719
191	0.168892	0.392026	1.645654
192	0.169708	2.530275	1.664867
193	0.126583	1.779680	1.681190
194	0.000482	0.000912	1.680724
195	0.008977	0.076265	1.684585
196	0.059001	0.055256	1.679516
197	0.279662	4.164596	1.701322
198	0.066671	0.011811	1.699981
199	0.122113	0.783245	1.709023
200	0.227359	1.621353	1.720018
201	0.093132	0.168671	1.722675
202	0.325366	1.809413	1.694251
203	0.048546	0.005771	1.692336
204	0.004761	0.001050	1.691723
205	0.010161	0.002655	1.690681
206	0.134580	0.406009	1.677606
207	0.185154	1.433177	1.689004
208	0.399655	0.918523	1.687242
209	0.007858	0.001494	1.687520
210	0.001553	0.001112	1.687950
211	0.060151	0.093659	1.690234
212	0.299329	3.418008	1.706675
213	0.710038	16.564300	1.629155
214	0.007698	0.016634	1.630794
215	0.217215	0.588038	1.634009
216	0.004082	0.000198	1.634061
217	0.097443	0.487482	1.621022
218	0.008522	0.024991	1.623059
219	0.305195	1.353075	1.628919
220	0.004086	0.003020	1.629578
221	0.147904	0.745251	1.612757
222	0.364487	1.316259	1.586519
223	0.009847	0.075851	1.582162
224	0.134683	1.236695	1.594067
225	0.134395	0.045124	1.589700
226	0.276395	4.001983	1.552561
227	0.189363	1.419691	1.563780
228	0.105088	0.092720	1.564114
229	0.003416	0.059396	1.567587
230	0.015807	0.000679	1.567155
231	0.103640	0.039501	1.565359
232	0.279615	0.946903	1.543677
233	0.052528	0.150212	1.547561
234	0.230870	4.894537	1.572566
235	0.206342	0.516107	1.574831
236	0.026839	0.004653	1.573177
237	0.304158	1.631884	1.546185
238	0.093414	0.394571	1.534267
239	0.227114	3.191758	1.552476
240	0.000297	0.000187	1.552269
241	0.110711	0.035315	1.548947
242	0.381847	3.482950	1.511124
243	0.057517	0.965927	1.495029
244	0.008915	0.017494	1.492802
245	0.013525	0.002520	1.493012
246	0.196096	0.249800	1.492017
247	0.305423	2.329746	1.461006
248	0.011102	0.000523	1.460827
249	0.009088	0.016577	1.458630
250	0.100425	2.079610	1.434241
251	0.115067	0.389469	1.421666
252	0.143226	3.133303	1.443911
253	0.207950	1.472586	1.454496
254	0.002911	0.018414	1.452400
255	0.000163	0.002731	1.451622
256	0.000111	0.002051	1.452288
257	0.007584	0.004838	1.451026
258	0.103888	0.077839	1.450692
259	0.018139	0.235644	1.442959
260	0.190730	1.008636	1.422681
261	0.068532	0.040771	1.418017
262	0.241355	4.223754	1.440592
263	0.077525	0.035349	1.436098
264	0.209562	0.281091	1.423515
265	0.014260	0.098284	1.427657
266	0.005369	0.035170	1.424720
267	0.003441	0.049127	1.421340
